run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	library_source	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
SRR32802208	PRJNA1240053	SAMN47499655	SRX28086116	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/008/SRR32802208/SRR32802208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/008/SRR32802208/SRR32802208_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/008/SRR32802208/SRR32802208.lite	Type 2 diabetes mellitus_Periodontitis 4	
SRR32802212	PRJNA1240053	SAMN47499616	SRX28086112	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/012/SRR32802212/SRR32802212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/012/SRR32802212/SRR32802212_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/012/SRR32802212/SRR32802212.lite	Healthy 5	
SRR32802216	PRJNA1240053	SAMN47499648	SRX28086108	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/016/SRR32802216/SRR32802216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/016/SRR32802216/SRR32802216_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/016/SRR32802216/SRR32802216.lite	Type 2 diabetes mellitus 17	
SRR32802217	PRJNA1240053	SAMN47499647	SRX28086107	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/017/SRR32802217/SRR32802217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/017/SRR32802217/SRR32802217_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/017/SRR32802217/SRR32802217.lite	Type 2 diabetes mellitus 16	
SRR32802219	PRJNA1240053	SAMN47499645	SRX28086105	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/019/SRR32802219/SRR32802219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/019/SRR32802219/SRR32802219_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/019/SRR32802219/SRR32802219.lite	Type 2 diabetes mellitus 14	
SRR32802220	PRJNA1240053	SAMN47499644	SRX28086104	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/020/SRR32802220/SRR32802220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/020/SRR32802220/SRR32802220_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/020/SRR32802220/SRR32802220.lite	Type 2 diabetes mellitus 13	
SRR32802228	PRJNA1240053	SAMN47499637	SRX28086096	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/028/SRR32802228/SRR32802228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/028/SRR32802228/SRR32802228_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/028/SRR32802228/SRR32802228.lite	Type 2 diabetes mellitus 6	
SRR32802236	PRJNA1240053	SAMN47499630	SRX28086088	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/036/SRR32802236/SRR32802236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/036/SRR32802236/SRR32802236_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/036/SRR32802236/SRR32802236.lite	Periodontitis 9	
SRR32802239	PRJNA1240053	SAMN47499627	SRX28086085	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/039/SRR32802239/SRR32802239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/039/SRR32802239/SRR32802239_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/039/SRR32802239/SRR32802239.lite	Periodontitis 6	
SRR32802243	PRJNA1240053	SAMN47499623	SRX28086081	447426	human oral metagenome	METAGENOMIC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/043/SRR32802243/SRR32802243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR328/043/SRR32802243/SRR32802243_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR328/043/SRR32802243/SRR32802243.lite	Periodontitis 2	
