Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR32802215_1	(30, 9.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 1.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 4.0)	(150, 0.0)	(160, 8.0)	(170, 0.0)	(180, 15.0)	(190, 5.0)	(200, 10.0)	(210, 1.0)	(220, 8.0)	(230, 7.0)	(240, 3.0)	(250, 2.0)	(260, 7.0)	(270, 4.0)	(280, 8.0)	(290, 9849.0)	(300, 137964.0)
SRR32802215_2	(30, 8.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 1.0)	(90, 1.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 2.0)	(150, 0.0)	(160, 5.0)	(170, 0.0)	(180, 11.0)	(190, 3.0)	(200, 12.0)	(210, 1.0)	(220, 2.0)	(230, 5.0)	(240, 1.0)	(250, 1.0)	(260, 2.0)	(270, 0.0)	(280, 1.0)	(290, 2053.0)	(300, 145797.0)
SRR32802216_1	(30, 9.0)	(40, 0.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 2.0)	(140, 2.0)	(150, 2.0)	(160, 4.0)	(170, 3.0)	(180, 48.0)	(190, 13.0)	(200, 35.0)	(210, 6.0)	(220, 19.0)	(230, 4.0)	(240, 2.0)	(250, 4.0)	(260, 2.0)	(270, 5.0)	(280, 8.0)	(290, 16262.0)	(300, 170838.0)
SRR32802216_2	(30, 8.0)	(40, 0.0)	(50, 0.0)	(60, 1.0)	(70, 0.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 2.0)	(140, 3.0)	(150, 0.0)	(160, 5.0)	(170, 1.0)	(180, 32.0)	(190, 10.0)	(200, 28.0)	(210, 4.0)	(220, 10.0)	(230, 2.0)	(240, 2.0)	(250, 1.0)	(260, 1.0)	(270, 2.0)	(280, 0.0)	(290, 2547.0)	(300, 184610.0)
SRR32802217_1	(30, 6.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 1.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 3.0)	(140, 2.0)	(150, 0.0)	(160, 6.0)	(170, 0.0)	(180, 6.0)	(190, 2.0)	(200, 9.0)	(210, 2.0)	(220, 14.0)	(230, 4.0)	(240, 2.0)	(250, 3.0)	(260, 3.0)	(270, 8.0)	(280, 7.0)	(290, 7608.0)	(300, 122841.0)
SRR32802217_2	(30, 6.0)	(40, 1.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 2.0)	(90, 0.0)	(100, 0.0)	(110, 0.0)	(120, 0.0)	(130, 1.0)	(140, 0.0)	(150, 0.0)	(160, 7.0)	(170, 0.0)	(180, 5.0)	(190, 0.0)	(200, 6.0)	(210, 2.0)	(220, 3.0)	(230, 1.0)	(240, 0.0)	(250, 1.0)	(260, 2.0)	(270, 2.0)	(280, 1.0)	(290, 1631.0)	(300, 128857.0)
SRR32802218_1	(30, 9.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 2.0)	(100, 0.0)	(110, 2.0)	(120, 3.0)	(130, 0.0)	(140, 10.0)	(150, 1.0)	(160, 51.0)	(170, 4.0)	(180, 32.0)	(190, 6.0)	(200, 31.0)	(210, 4.0)	(220, 55.0)	(230, 10.0)	(240, 5.0)	(250, 5.0)	(260, 15.0)	(270, 14.0)	(280, 4.0)	(290, 8185.0)	(300, 163190.0)
SRR32802218_2	(30, 12.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 1.0)	(80, 0.0)	(90, 2.0)	(100, 0.0)	(110, 2.0)	(120, 1.0)	(130, 0.0)	(140, 7.0)	(150, 1.0)	(160, 44.0)	(170, 4.0)	(180, 27.0)	(190, 5.0)	(200, 21.0)	(210, 3.0)	(220, 27.0)	(230, 6.0)	(240, 1.0)	(250, 2.0)	(260, 5.0)	(270, 1.0)	(280, 1.0)	(290, 2587.0)	(300, 168879.0)
SRR32802219_1	(301, 97921.0)																											
SRR32802219_2	(301, 97921.0)																											
SRR32802220_1	(301, 226722.0)																											
SRR32802220_2	(301, 226722.0)																											
SRR32802221_1	(301, 109826.0)																											
SRR32802221_2	(301, 109826.0)																											
SRR32802222_1	(301, 141892.0)																											
SRR32802222_2	(301, 141892.0)																											
SRR32802223_1	(301, 127968.0)																											
SRR32802223_2	(301, 127968.0)																											
SRR32802224_1	(301, 177018.0)																											
SRR32802224_2	(301, 177018.0)																											
SRR32802225_1	(301, 132779.0)																											
SRR32802225_2	(301, 132779.0)																											
SRR32802226_1	(301, 163285.0)																											
SRR32802226_2	(301, 163285.0)																											
SRR32802227_1	(301, 97169.0)																											
SRR32802227_2	(301, 97169.0)																											
SRR32802228_1	(301, 125689.0)																											
SRR32802228_2	(301, 125689.0)																											
SRR32802229_1	(301, 172862.0)																											
SRR32802229_2	(301, 172862.0)																											
SRR32802230_1	(301, 164707.0)																											
SRR32802230_2	(301, 164707.0)																											
SRR32802231_1	(301, 212013.0)																											
SRR32802231_2	(301, 212013.0)																											
SRR32802232_1	(301, 123339.0)																											
SRR32802232_2	(301, 123339.0)																											
SRR32802233_1	(301, 185076.0)																											
SRR32802233_2	(301, 185076.0)																											
SRR32802234_1	(301, 140843.0)																											
SRR32802234_2	(301, 140843.0)																											
SRR32802235_1	(301, 116644.0)																											
SRR32802235_2	(301, 116644.0)																											
SRR32802236_1	(30, 8.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 1.0)	(130, 2.0)	(140, 13.0)	(150, 1.0)	(160, 18.0)	(170, 2.0)	(180, 15.0)	(190, 3.0)	(200, 3.0)	(210, 2.0)	(220, 48.0)	(230, 8.0)	(240, 4.0)	(250, 3.0)	(260, 4.0)	(270, 6.0)	(280, 11.0)	(290, 13871.0)	(300, 160702.0)
SRR32802236_2	(30, 7.0)	(40, 0.0)	(50, 0.0)	(60, 0.0)	(70, 2.0)	(80, 0.0)	(90, 0.0)	(100, 0.0)	(110, 2.0)	(120, 1.0)	(130, 2.0)	(140, 8.0)	(150, 1.0)	(160, 15.0)	(170, 2.0)	(180, 14.0)	(190, 1.0)	(200, 1.0)	(210, 2.0)	(220, 19.0)	(230, 2.0)	(240, 1.0)	(250, 3.0)	(260, 2.0)	(270, 1.0)	(280, 5.0)	(290, 2804.0)	(300, 171834.0)
SRR32802237_1	(301, 179264.0)																											
SRR32802237_2	(301, 179264.0)																											
SRR32802238_1	(301, 194755.0)																											
SRR32802238_2	(301, 194755.0)																											
SRR32802239_1	(301, 190944.0)																											
SRR32802239_2	(301, 190944.0)																											
SRR32802240_1	(301, 176016.0)																											
SRR32802240_2	(301, 176016.0)																											
SRR32802241_1	(301, 216804.0)																											
SRR32802241_2	(301, 216804.0)																											
SRR32802242_1	(301, 207057.0)																											
SRR32802242_2	(301, 207057.0)																											
SRR32802243_1	(301, 187889.0)																											
SRR32802243_2	(301, 187889.0)																											
SRR32802244_1	(301, 186894.0)																											
SRR32802244_2	(301, 186894.0)																											
SRR32802245_1	(301, 238187.0)																											
SRR32802245_2	(301, 238187.0)																											
SRR32802246_1	(301, 236519.0)																											
SRR32802246_2	(301, 236519.0)																											
