Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR32802202_2	SRR32802202_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	97863.0	29.4 Mbp	0.0	301.0	54.0	15.89466907820116	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802203_1	SRR32802203_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110792.0	33.3 Mbp	0.0	301.0	54.0	9.549425951332227	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802203_2	SRR32802203_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110792.0	33.3 Mbp	0.0	301.0	54.0	16.055310852769153	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802204_1	SRR32802204_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153205.0	46.1 Mbp	0.0	301.0	53.0	8.762116118925622	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802204_2	SRR32802204_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	153205.0	46.1 Mbp	0.0	301.0	53.0	14.846773930354754	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802205_1	SRR32802205_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118983.0	35.8 Mbp	0.0	301.0	55.0	8.696200297521495	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802205_2	SRR32802205_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	118983.0	35.8 Mbp	0.0	301.0	54.0	15.678710404007296	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802206_1	SRR32802206_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117871.0	35.4 Mbp	0.0	301.0	53.0	9.930347583375045	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802206_2	SRR32802206_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	117871.0	35.4 Mbp	0.0	301.0	52.0	16.564719057274477	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802207_1	SRR32802207_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131508.0	39.5 Mbp	0.0	301.0	53.0	10.116494814003712	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802207_2	SRR32802207_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131508.0	39.5 Mbp	0.0	301.0	53.0	19.421632144052072	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802208_1	SRR32802208_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214223.0	64.4 Mbp	0.0	301.0	53.0	9.527455035173627	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802208_2	SRR32802208_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214223.0	64.4 Mbp	0.0	301.0	53.0	13.902335416831994	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802209_1	SRR32802209_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214968.0	64.7 Mbp	0.0	301.0	54.0	8.52266383833873	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802209_2	SRR32802209_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	214968.0	64.7 Mbp	0.0	301.0	53.0	11.901306240928882	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802210_1	SRR32802210_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	199865.0	60.1 Mbp	0.0	301.0	54.0	9.140669952217747	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802210_2	SRR32802210_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	199865.0	60.1 Mbp	0.0	301.0	54.0	15.88972556475621	301.0	301	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
SRR32802211_1	SRR32802211_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161390.0	48.5 Mbp	0.0	301.0	53.0	9.10217485593903	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR32802211_2	SRR32802211_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	161390.0	48.5 Mbp	0.0	301.0	54.0	15.004027510998203	301.0	301	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
