Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR32802203_1	(1.0, 6.656617806339808)	(2.0, 2.4929597804895662)	(3.0, 1.3620116975954943)	(4.0, 0.9856307314607553)	(5.0, 0.7762293306375911)	(6.0, 0.6769441836955736)	(7.0, 0.606541988591234)	(8.0, 0.3971405877680699)	(9.0, 0.4549064914434255)	('>10', 6.85248032348906)	('>50', 3.5814860278720486)	('>100', 14.797999855585243)	('>500', 10.954762076684236)	('>1k', 29.602317856884973)	('>5k', 19.80197126146292)	('>10k+', 0.0)
SRR32802203_2	(1.0, 12.573109971839122)	(2.0, 2.9352299805040074)	(3.0, 1.8358726261823957)	(4.0, 1.2455772979998556)	(5.0, 0.8890533612535201)	(6.0, 0.8394107877825114)	(7.0, 0.619178280020218)	(8.0, 0.5343346089970396)	(9.0, 0.4467831612390787)	('>10', 7.482489710448408)	('>50', 4.105892122174886)	('>100', 20.791212361903387)	('>500', 10.98545021301177)	('>1k', 34.7164055166438)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802204_1	(1.0, 6.062465324238765)	(2.0, 2.1931399105773313)	(3.0, 1.4079174961652687)	(4.0, 0.986912959759799)	(5.0, 0.7408374400313306)	(6.0, 0.6540256519043112)	(7.0, 0.5437159361639633)	(8.0, 0.516954407493228)	(9.0, 0.4347116608465781)	('>10', 6.271335791912796)	('>50', 2.8693580496720084)	('>100', 11.305766783068439)	('>500', 11.351457197872133)	('>1k', 35.47012173231944)	('>5k', 9.632844881041741)	('>10k+', 9.558434776932868)
SRR32802204_2	(1.0, 11.63669593028948)	(2.0, 2.677458307496492)	(3.0, 1.672269181815215)	(4.0, 1.2036160699716068)	(5.0, 0.9529715087627689)	(6.0, 0.771515289970954)	(7.0, 0.603113475408766)	(8.0, 0.5691720244117359)	(9.0, 0.45233510655657455)	('>10', 6.414934238438693)	('>50', 3.0560360301556737)	('>100', 17.912600763682647)	('>500', 15.30498351881466)	('>1k', 29.65112104696322)	('>5k', 7.121177507261513)	('>10k+', 0.0)
SRR32802205_1	(1.0, 6.047082356303001)	(2.0, 2.20199524301791)	(3.0, 1.3564963061950026)	(4.0, 0.9278636443861729)	(5.0, 0.7269946126757604)	(6.0, 0.5496583545548525)	(7.0, 0.4353563114058311)	(8.0, 0.3765243774320701)	(9.0, 0.43115403040770534)	('>10', 6.454703613121201)	('>50', 4.043434776396628)	('>100', 14.275148550633284)	('>500', 6.790886092971264)	('>1k', 36.100955598698974)	('>5k', 0.0)	('>10k+', 19.281746131800343)
SRR32802205_2	(1.0, 12.226116335947152)	(2.0, 3.054217829437819)	(3.0, 1.7573939134162022)	(4.0, 1.1531059058857147)	(5.0, 0.9581200675726785)	(6.0, 0.7967524772446484)	(7.0, 0.6765672406982509)	(8.0, 0.5378919677601002)	(9.0, 0.4462822420009581)	('>10', 6.740458720993756)	('>50', 3.988805123420993)	('>100', 18.809409747611003)	('>500', 11.494919442273266)	('>1k', 37.35995898573746)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802206_1	(1.0, 6.923670792646199)	(2.0, 2.5485488372882217)	(3.0, 1.5550898864012352)	(4.0, 1.1402295730077796)	(5.0, 0.7550627380780683)	(6.0, 0.5955663394728135)	(7.0, 0.6235630477386295)	(8.0, 0.515818140170186)	(9.0, 0.4886698170033342)	('>10', 6.110069482739605)	('>50', 3.668417167920863)	('>100', 18.484614536230286)	('>500', 13.454539284472009)	('>1k', 34.294270855426696)	('>5k', 0.0)	('>10k+', 8.841869501404078)
SRR32802206_2	(1.0, 13.00235002672413)	(2.0, 3.2035021336885237)	(3.0, 1.9165019385599513)	(4.0, 1.2284616233000483)	(5.0, 0.9289816833657134)	(6.0, 0.7075531725360776)	(7.0, 0.4929117424981548)	(8.0, 0.4750956554199082)	(9.0, 0.37413782864317774)	('>10', 6.527474951429952)	('>50', 4.729746926724979)	('>100', 25.295450110714256)	('>500', 15.310805881005507)	('>1k', 25.80702632538962)	('>5k', 0.0)	('>10k+', 0.0)
SRR32802207_1	(1.0, 7.020105240745809)	(2.0, 2.7024971864829515)	(3.0, 1.5763299571128753)	(4.0, 1.0980320588861514)	(5.0, 0.7604100130790522)	(6.0, 0.6569942513003011)	(7.0, 0.5163183988806764)	(8.0, 0.5049122486844907)	(9.0, 0.4448398576512456)	('>10', 6.375277549654775)	('>50', 3.5579584511968854)	('>100', 19.933388082854275)	('>500', 14.004471210876904)	('>1k', 35.26249353651489)	('>5k', 5.585971956078717)	('>10k+', 0.0)
SRR32802207_2	(1.0, 15.399063174863887)	(2.0, 3.712321683851933)	(3.0, 2.0599507254311527)	(4.0, 1.4082793442224046)	(5.0, 0.9999391671989537)	(6.0, 0.857742494753171)	(7.0, 0.6440672810779573)	(8.0, 0.5292453691030203)	(9.0, 0.49958937859293734)	('>10', 6.704535085318003)	('>50', 5.384463302612769)	('>100', 26.88429601240989)	('>500', 15.74809137086717)	('>1k', 19.168415609696748)	('>5k', 0.0)	('>10k+', 0.0)
