.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR32802231_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802231_2	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802232_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802232_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802233_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802233_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802234_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802234_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802235_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802235_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802236_1	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
SRR32802236_2	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
SRR32802237_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802237_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802238_1	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR32802238_2	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR32802239_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802239_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802240_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802240_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802241_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802241_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802242_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802242_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802243_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802243_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802244_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802244_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802245_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802245_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802246_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR32802246_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
