Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR32802230_2	86.0078806608098	53.0	301.0	301	36.36363636363637	0.164707
SRR32802231_1	90.99960851457222	53.0	301.0	301	36.36363636363637	0.21201299999999998
SRR32802231_2	86.27018154547127	54.0	301.0	301	27.27272727272727	0.21201299999999998
SRR32802232_1	92.0341497823073	55.0	301.0	301	36.36363636363637	0.12333899999999999
SRR32802232_2	86.29549453133234	55.0	301.0	301	36.36363636363637	0.12333899999999999
SRR32802233_1	91.66126348094836	53.0	301.0	301	36.36363636363637	0.185076
SRR32802233_2	86.8686377488167	53.0	301.0	301	36.36363636363637	0.185076
SRR32802234_1	88.93235730565239	53.0	301.0	301	36.36363636363637	0.140843
SRR32802234_2	85.62370866851742	53.0	301.0	301	36.36363636363637	0.140843
SRR32802235_1	93.03693288981859	52.0	301.0	301	36.36363636363637	0.116644
SRR32802235_2	84.27523061623401	51.0	301.0	301	36.36363636363637	0.116644
SRR32802236_1	90.00280434272501	54.0	300.3927424754906	301	36.36363636363637	0.174729
SRR32802236_2	81.20632522363202	53.0	300.8334706888954	301	27.27272727272727	0.174729
SRR32802237_1	91.2447563370225	53.0	301.0	301	36.36363636363637	0.17926399999999998
SRR32802237_2	87.56749821492325	53.0	301.0	301	36.36363636363637	0.17926399999999998
SRR32802238_1	90.50139919385896	53.0	301.0	301	27.27272727272727	0.19475499999999998
SRR32802238_2	86.42602243844831	52.0	301.0	301	18.181818181818183	0.19475499999999998
SRR32802239_1	91.17332830568125	54.0	301.0	301	36.36363636363637	0.190944
SRR32802239_2	86.86683006535948	53.0	301.0	301	36.36363636363637	0.190944
SRR32802240_1	91.2462503408781	54.0	301.0	301	36.36363636363637	0.176016
SRR32802240_2	87.48750113626033	53.0	301.0	301	36.36363636363637	0.176016
SRR32802241_1	90.66391763989594	54.0	301.0	301	36.36363636363637	0.216804
SRR32802241_2	85.44768546705781	54.0	301.0	301	36.36363636363637	0.216804
SRR32802242_1	90.37946072820527	54.0	301.0	301	36.36363636363637	0.207057
SRR32802242_2	83.8996025249086	54.0	301.0	301	36.36363636363637	0.207057
SRR32802243_1	91.61206882787178	54.0	301.0	301	36.36363636363637	0.187889
SRR32802243_2	84.82295397814667	54.0	301.0	301	36.36363636363637	0.187889
SRR32802244_1	91.13668710606012	53.0	301.0	301	36.36363636363637	0.186894
SRR32802244_2	85.47732939527219	54.0	301.0	301	36.36363636363637	0.186894
SRR32802245_1	91.92105362593256	53.0	301.0	301	36.36363636363637	0.23818699999999998
SRR32802245_2	87.31081041366657	53.0	301.0	301	36.36363636363637	0.23818699999999998
SRR32802246_1	93.0631365767655	54.0	301.0	301	36.36363636363637	0.23651899999999998
SRR32802246_2	88.90448547473987	53.0	301.0	301	36.36363636363637	0.23651899999999998
